cnpj_produtora;grupo;razao_social;perfil
09640643000174;60782494000135;ASK THE RABBIT ENTRETENIMENTO LTDA;Pequeno Porte com algum retorno
06137016000127;06137016000127;PRIMO FILMES LTDA;Fomento Baixo Retorno
09619186000136;09619186000136;A PRODUTORA PRODUCOES AUDIOVISUAIS LTDA - ME;Pequeno Porte com algum retorno
11179178000168;11179178000168;JUBA FILMES PRODUÃÃO LTDA.;Pequeno Porte com algum retorno
00508766000181;63935275000137;SAMBAQUI CULTURAL CINE VÍDEO LTDA;Pequeno Porte com algum retorno
05045517000110;05045517000110;ALEXANDRE DA S. CARVALHO AUDIOVISUAL;Retorno Internacional
14592038000105;14592038000105;MOSAICO FILMES LTDA;Pequeno Porte com algum retorno
08677301000166;08677301000166;LACUNA FILMES LTDA;Duplo Retorno
13110657000153;12977169000185;MEDIA BRIDGE PRODUÇÕES LTDA.;Retorno Doméstico
05865587000115;05865587000115;LAFILMS.TV PRODUCOES LTDA;Pequeno Porte com algum retorno
07966825000104;07966825000104;BOOK FILMES PRODUÃÃES LTDA.;Pequeno Porte com algum retorno
01613170000104;01613170000104;CANAL AZUL CONSULTORIA AUDIOVISUAL - EIRELI;Fomento Baixo Retorno
04486752000165;04486752000165;LAVORO PRODUÇÕES ARTÍSTICAS LTDA.;Pequeno Porte com algum retorno
10957732000128;10957732000128;IT FILMES, COMUNICAÃÃO E ENTRETENIMENTO LTDA;Pequeno Porte com algum retorno
03987306000252;03987306000171;CAMISA LISTRADA LTDA;Retorno Doméstico
05776048000100;05776048000100;LETICIA SPILLER PENA PRODUCOES ARTISTICAS LTDA;Pequeno Porte com algum retorno
07947109000180;50429624000105;ANTONIO M. G. DE CARVALHO PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS;Pequeno Porte com algum retorno
07616202000101;09385060000144;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;Retorno Doméstico
10922699000109;10922699000109;GILNEI WELFER DOS SANTOS;Pequeno Porte sem retorno
02758386000120;02758386000120;PROPÃCIA PRODUÃÃES LTDA;Pequeno Porte com algum retorno
51264273000184;51264273000184;ELIXIR - COMUNICAÇÃO, CULTURA E ENTRETENIMENTO LTDA ME;Pequeno Porte com algum retorno
31553936000173;31553936000173;TELENEWS SERVICE LTDA;Pequeno Porte com algum retorno
06013078000127;06013078000127;13 PRODUÃÃES E LOCAÃÃES LTDA-ME;Pequeno Porte com algum retorno
11545487000104;28617961000169;QUEROSENE PRODUÇÕES ARTISTICAS E CINEMATOGRÁFICAS LTDA;Retorno Doméstico
05966506000173;05966506000173;ANHAMUM PRODUÃÃES AUDIOVISUAIS LTDA;Pequeno Porte sem retorno
13535692000114;13535692000114;AGUAS DE MARCO FILMES LTDA ME;Pequeno Porte com algum retorno
00360459000104;00360459000104;DOCUMENTA PRODUCOES EIRELI - ME;Pequeno Porte com algum retorno
12580503000162;54195275000157;PARIS PRODUCOES CINEMATOGRAFICAS LTDA;Retorno Doméstico
09107296000119;25301432000163;3 TABELA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;Fomento Baixo Retorno
37981206000150;22300720000105;ASACINE PRODUÇÕES EIRELI;Fomento Baixo Retorno
06935870000139;11916445000132;TREME PRODUCOES LTDA;Pequeno Porte com algum retorno
04937797000109;04937797000109;GP7 CINEMA LTDA;Pequeno Porte com algum retorno
05436489000162;05436489000162;REFINARIA PRODUÇÕES LTDA.;Pequeno Porte com algum retorno
09324313000170;09324313000170;COM DOMÃNIO PRODUÃÃES LTDA;Pequeno Porte com algum retorno
10780165000187;10780165000187;BRITO E SANTOS PRODUCOES LTDA - ME;Pequeno Porte com algum retorno
59075184000100;59075184000100;MARCELO SPOMBERG;Pequeno Porte sem retorno
03191048000112;03191048000112;MATINE FILMES LTDA;Pequeno Porte com algum retorno
01478079000123;01478079000123;BLACK MARIA FILME VIDEO DIGITAL EIRELI;Retorno Doméstico
02028727000102;41762621000190;MAMUTE FILMES LTDA-M.E.;Pequeno Porte com algum retorno
00445787000103;21255287000170;CINE CINEMATOGRÃFICA LTDA;Pequeno Porte com algum retorno
03093490000106;03093490000106;MERCADO CULTURAL LTDA EPP;Fomento Baixo Retorno
38027546000109;38027546000109;JORGE OLIVEIRA DA SILVA COMUNICACAO CONSULTORIA E MARKETING LTDA;Pequeno Porte com algum retorno
09218906000151;09218906000151;PAULO WILKE CARUSO ME;Pequeno Porte sem retorno
04650621000171;04650621000171;MIRA FILMES LTDA - ME;Fomento Baixo Retorno
17227558000107;17227558000107;PORTA DOS FUNDOS PRODUTORA E DISTRIBUIDORA AUDIOVISUAL S.A.;Retorno Doméstico
04303816000145;31852808000120;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;Retorno Doméstico
10701739000184;10701739000184;ABAETÃ FILMES LTDA.;Pequeno Porte com algum retorno
07632461000126;07496784000130;JOÃO GABRIEL SANTOS LEITE;Pequeno Porte com algum retorno
04854820000100;04854820000100;BAABLON STUDIOS LTDA;Retorno Doméstico
09019897000170;09019897000170;OLÉ PRODUÇÕES LTDA;Pequeno Porte com algum retorno
11290121000131;11290121000131;REMAKE FILMES LTDA. - EPP;Pequeno Porte com algum retorno
01009824000195;01009824000195;ARAPY PRODUÇÕES LTDA.;Pequeno Porte com algum retorno
05246567000166;05246567000166;WILLIAM CUBITS CAPELA;Pequeno Porte com algum retorno
01287908000190;01287908000190;AVENTURAS PRODUÇÕES E EDIÇÕES EDUCATIVAS LTDA;Pequeno Porte com algum retorno
06900652000169;02188743000162;BSB SERVIÇOS CINEGROUP LTDA;Pequeno Porte com algum retorno
23234999000139;23234999000139;CINEMA BRUTO PRODUCAO CINEMATOGRAFICA E CULTURAL LTDA;Pequeno Porte com algum retorno
21917692000107;21917692000107;LAPIS BRANCO PRODUCOES ARTISTICAS LTDA.;Pequeno Porte sem retorno
07501094000121;19557549000100;MARIOLA FILMES E PRODUÇÕES LTDA.;Pequeno Porte com algum retorno
08233638000184;08233638000184;POSTURA DIGITAL FILMES EIRELI;Pequeno Porte com algum retorno
16957757000108;16957757000108;ENTRE FILMES PRODUCOES LTDA - ME;Retorno Internacional
11073883000186;21866255000101;FILM NOISE PRODUÃÃES CINEMATOGRAFICAS LTDA;Retorno Doméstico
03279751000187;03279751000187;BIZUM COMUNICAÃÃO LTDA;Pequeno Porte com algum retorno
06992833000162;26182786000107;MODO OPERANTE PRODUÇÕES CULTURAIS LTDA. ME;Pequeno Porte com algum retorno
07627467000105;07627467000105;MOONSHOT CREATIVE LAB PRODUÇÕES ARTÍSTICAS LTDA.;Retorno Doméstico
08164917000133;00077702000173;TRATOR FILMES LTDA;Pequeno Porte com algum retorno
08010574000152;08010574000152;LILIGO PRODUÃÃES ARTÃSTICAS LTDA;Pequeno Porte com algum retorno
04661796000184;39701760000161;GIROS PROJETOS AUDIOVISUAIS LTDA;Fomento Baixo Retorno
10645895000175;33614133000107;MIGDAL PRODUÇÕES CINEMATOGRÁFICAS LTDA.;Retorno Doméstico
16863370000192;16863370000192;VILABELA PRODUÇÕES ARTÍSTICAS;Pequeno Porte com algum retorno
09416289000107;09416289000107;LATINAMERICA ENTRETENIMENTO INTERNACIONAL LTDA;Retorno Doméstico
02947857000149;02947857000149;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;Retorno Doméstico
12187070000180;12187070000180;AVEXI FILMES EIRELI;Pequeno Porte com algum retorno
00132102000160;08772010000157;SCHÃRMANN PRODUÃÃES CINEMATOGRÃFICAS LTDA;Retorno Doméstico
09005783000170;09005783000170;CIGANO FILMES LTDA - ME;Pequeno Porte com algum retorno
07419227000115;07419227000115;DIANE PEIXOTO MAIA - ME;Fomento Baixo Retorno
08427088000134;31885544000101;DE FELIPPES FILMES E PRODUÇÕES LTDA;Fomento Baixo Retorno
06065140000124;06065140000124;DUNAMYS FILMS PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME;Pequeno Porte com algum retorno
00962888000143;00962888000143;LUBA FILMES LTDA.;Pequeno Porte com algum retorno
09271593000103;09271593000103;SALIVA PRODUCOES CINEMATOGRAFICAS LTDA;Pequeno Porte com algum retorno
08103457000133;08103457000133;TITÃNIO PRODUÃÃES ARTÃSTICAS LTDA.;Pequeno Porte com algum retorno
16729130000108;16729130000108;BOUTIQUE FILMES E PRODUÇÕES LTDA.;Pequeno Porte com algum retorno
30027114000196;30027114000196;CINECARIOCA MICROCINE BONSUCESSO;Pequeno Porte sem retorno
14670660000194;14670660000194;TVMEIOAMBIENTE PRODUÃÃO E COMUNICAÃÃO LTDA;Pequeno Porte com algum retorno
12580503000243;54195275000157;PARIS PRODUCOES CINEMATOGRAFICAS LTDA;Retorno Doméstico
08788322000159;08788322000159;ID AV IDENTIDADE AUDIOVISUAL LTDA;Pequeno Porte com algum retorno
03292963000102;03292963000102;BUFÃES PRODUÃÃES ARTÃSTICAS LTDA;Pequeno Porte com algum retorno
02882274000187;36731497000165;CARMELA CONTÃUDOS PRODUÃÃES LTDA;Pequeno Porte sem retorno
19478327000100;19478327000100;LUPA FILMES LTDA;Fomento Baixo Retorno
18082113000149;58451536000103;FORMATA PRODUCOES E CONTEUDO LTDA.;Retorno Doméstico
11411520000103;11411520000103;EPIFANIA FILMES PRESTAÃÃO DE SERVIÃOS E PRODUÃÃO AUDIOVISUAL LTDA;Pequeno Porte com algum retorno
54836861000133;54836861000133;PA PRODUTORES ASSOCIADOS LTDA;Fomento Baixo Retorno
19886089000163;19886089000163;EXÓTICA CINEMATOGRÁFICA - EIRELI;Pequeno Porte com algum retorno
09165924000112;11403337000166;P. G. C. MARTONI DA NOBREGA - PRODUCAO CINEMATOGRAFICA;Pequeno Porte com algum retorno
07570789000165;43366577000124;BIÔNICA CINEMA E TV LTDA.ME;Duplo Retorno
16490810000103;16490810000103;CASADASARTES PRODUTORA DE FILMES LTDA;Pequeno Porte com algum retorno
64044886000158;33982904000119;FILMART PRODUÇÕES ARTISTICAS LTDA;Pequeno Porte com algum retorno
03984281000152;03984281000152;RIO DE CINEMA PRODUÇÕES CULTURAIS;Pequeno Porte com algum retorno
05081895000150;05081895000150;CHRISTAL PRODUÃÃES ARTÃSTICAS LTDA.;Pequeno Porte com algum retorno
24856310000170;36845016000142;CAFE PRETO PRODUCOES AUDIOVISUAIS LTDA - ME;Pequeno Porte sem retorno
10681698000101;22910081000108;TUCUMÁN DISTRIBUIDORA DE FILMES LTDA;Pequeno Porte com algum retorno
08304465000148;04828220000169;GIOCONDA PRODUÃÃES ARTÃSTICAS E EDIÃÃES CULTURAIS LTDA;Pequeno Porte com algum retorno
09437566000150;09437566000150;GRAFO AUDIOVISUAL LTDA ME;Fomento Baixo Retorno
00061412000131;34670566000142;DI MAURO CULTURA E ARTE PRODUCOES ARTISTICAS EIRELI;Pequeno Porte com algum retorno
04031248000170;04031248000170;PRODUÃÃO DIGITAL REALIZAÃÃES CINEMATOGRÃFICAS LTDA.;Pequeno Porte com algum retorno
14022519000185;46709797000100;PALHA & ENTRETENIMENTOS - CASA DE CRIACAO PRODUCOES LTDA;Pequeno Porte sem retorno
08046502000165;08046502000165;IRENE RULIAN SOARES ME;Pequeno Porte com algum retorno
23964115000100;23964115000100;A FABRICA ENTRETENIMENTO E PARTICIPACOES S.A;Retorno Doméstico
11721296000156;29575070000150;VIRALATA PRODUÇÕES LTDA ME;Pequeno Porte com algum retorno
12375637000141;15455796000144;DOIS MOLEQUES PRODUÇÕES LTDA;Pequeno Porte com algum retorno
74425067000104;74425067000104;PLATEAU MARKETING E PRODUÇÕES CULTURAIS LTDA;Retorno Internacional
11140814000148;11140814000148;PARANOID FILMES LTDA;Pequeno Porte com algum retorno
08752098000145;08752098000145;SERTÃO PRODUÃÃES ARTÃSTICAS E CINEMATOGRÃFICAS LTDA;Pequeno Porte sem retorno
03247208000106;03247208000106;AA - AFROREGGAE AUDIOVISUAL S.A.;Pequeno Porte com algum retorno
07716572000110;07716572000110;LEP LUGAR DE ENCONTROS E PRODUCOES LTDA;Pequeno Porte com algum retorno
06842017000172;06842017000172;FRAMMELLO PRODUÇÕES AUDIOVISUAIS LTDA.;Pequeno Porte com algum retorno
09385866000132;09385866000132;ALTO PARAÃSO PRODUÃÃES LTDA;Pequeno Porte com algum retorno
09281789000170;09281789000170;POPCON PRODUÃÃES LTDA;Fomento Baixo Retorno
18822538000147;18822538000147;VIEW FILMES PRODUCOES AUDIOVISUAIS LTDA - EPP;Pequeno Porte com algum retorno
03138801000106;03138801000106;STÚDIO 10 ASSESSORIA E COMUNICAÇÃO LTDA ME;Pequeno Porte com algum retorno
14100997000166;14100997000166;GLOBO CINE DIGITAL LTDA - ME;Pequeno Porte com algum retorno
13223702000186;13223702000186;CHAPLIN SOLUÃÃES AUDIOVISUAIS LTDA;Pequeno Porte com algum retorno
03767725000106;03767725000106;FABRICA ESTUDIOS LTDA;Pequeno Porte com algum retorno
00815123000180;03980575000106;TRADE PRODUÃÃO E COMUNICAÃÃO LTDA;Pequeno Porte com algum retorno
06967225000106;06967225000106;LOSBRAGAS PRODUÇÕES LTDA;Pequeno Porte com algum retorno
52097649000176;52097649000176;ZABUMBA AUDIOVISUAL E EXPRESSOES CULTURAIS EIRELI;Pequeno Porte com algum retorno
08103899000180;08103899000180;LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME;Pequeno Porte com algum retorno
07630900000161;11701095000197;HUNGRY MAN BRASIL PRODUÇÕES LTDA.;Fomento Baixo Retorno
09064138000129;09064138000129;JACQUELINE FILMES LTDA;Pequeno Porte com algum retorno
33451113000162;33451113000162;FILMES DO SERRO LTDA.;Pequeno Porte sem retorno
07533507000150;07477471000134;BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A;Fomento Baixo Retorno
71743496000131;71743496000131;MARCELO MACHADO PRODUÇÕES ARTÍSTICAS LTDA - ME;Pequeno Porte com algum retorno
07700630000118;24917465000170;ELO AUDIOVISUAL SERVIÇOS LTDA;Fomento Baixo Retorno
31525918000188;05596539000179;ANIMANDO PRODUÃÃES ARTÃSTICAS LTDA.;Pequeno Porte sem retorno
06242683000170;06242683000170;DG CONSULTORIA E COMUNICAÃÃO AMBIENTAL LTDA.;Pequeno Porte com algum retorno
05372676000120;05372676000120;MSTK PRODUÇÕES CINEMATOGRÁFICAS LTDA-ME;Pequeno Porte com algum retorno
10445307000150;10445307000150;INTERFACE FILMES LTDA;Pequeno Porte sem retorno
11717663000148;17811379000112;SPLIT STUDIO PRODUÇÕES AUDIOVISUAIS LTDA.;Pequeno Porte sem retorno
08112710000115;08112710000115;BESOURO FILMES LTDA.;Pequeno Porte com algum retorno
19291237000105;51207853000130;TOCHA PRODUCOES ARTISTICAS - EIRELI;Pequeno Porte com algum retorno
07477471000215;07477471000215;BOSSA NOVA FILMS CRIAÃÃES E PRODUÃÃES LTDA;Pequeno Porte com algum retorno
13383501000146;13383501000146;TX CONTEUDO E ENTRETENIMENTO LTDA;Pequeno Porte com algum retorno
04728553000116;04728553000116;MUIRAQUITA FILMES E PRODUCOES ARTISTICAS EIRELI ­ ME;Pequeno Porte com algum retorno
74107475000118;06110319000156;REALIZART PRODUÇÃO AUDIOVISUAL LTDA;Pequeno Porte com algum retorno
07720343000170;07720343000170;TARUMÃ ASSESSORIA PRODUÃÃES E SERVIÃOS ARTÃSTICOS LTDA;Pequeno Porte sem retorno
11265176000191;40930246000187;PRETA PORTÃ FILMES E PRODUÃÃES CULTURAIS LTDA;Pequeno Porte com algum retorno
18677618000156;18677618000156;CANELA PRODUÃÃES ARTÃSTICAS LTDA.;Pequeno Porte sem retorno
17383231000124;17383231000124;RUBI FILMES E PRODUCOES ARTISTICAS LTDA;Retorno Doméstico
12126484000107;12126484000107;BOULEVARD FILMES LTDA;Pequeno Porte com algum retorno
03760043000163;03760043000163;AFINAL FILMES LTDA;Pequeno Porte com algum retorno
31608781000125;31608781000125;LAVRA EDITORA E PRODUCOES CINEMATOGRAFICAS EIRELI;Pequeno Porte com algum retorno
07847012000103;07847012000103;DANILO PONTES FERREIRA DE CARVALHO - ME;Pequeno Porte com algum retorno
14741081000195;14741081000195;LUC FILMES LTDA - ME;Pequeno Porte sem retorno
16603000000116;16603000000116;PUKSAR PRODUTORA DE FILMES LTDA;Pequeno Porte com algum retorno
09506070000190;09506070000190;QUINTAL DIGITAL PRODUÃÃES LTDA;Pequeno Porte sem retorno
11660296000193;11660296000193;MGP ENTRETENIMENTO LTDA;Pequeno Porte com algum retorno
10712207000142;10712207000142;CINÉTICA FILMES E PRODUÇÕES LTDA.;Retorno Doméstico
26694889000148;29219840000121;CAPURI FILMES PRODUÇÕES LTDA;Pequeno Porte sem retorno
12975490000120;12975490000120;ESTUDIO TEREMIM FILMES E SERVIÇOS LTDA;Pequeno Porte com algum retorno
09535973000108;09535973000108;TURBILHAO DE IDEIAS CULTURA E ENTRETENIMENTO LTDA - ME;Pequeno Porte com algum retorno
68311943000179;68311943000179;MKT MIDIA EIRELI;Pequeno Porte sem retorno
27920016000179;04994930000169;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;Pequeno Porte com algum retorno
12521386000166;12521386000166;NKLS PRODUCOES LTDA;Pequeno Porte sem retorno
22791682000130;22791682000130;ATLÃNTICO FILMES LTDA ME;Pequeno Porte sem retorno
06814372000138;06814372000138;PAULO PÃLICO - ME;Pequeno Porte com algum retorno
68593466000181;68593466000181;NO AR COMUNICAÃÃO LTDA;Pequeno Porte com algum retorno
14215563000101;14215563000101;STORM COMUNICAÃÃO E TECNOLOGIA LTDA;Pequeno Porte com algum retorno
14440714000125;14440714000125;BUBBLES PRODUÇÕES ARTÍSTICAS LTDA;Retorno Internacional
07867455000158;07867455000158;B SIDE PRODUÃÃO DE VÃDEO LTDA - ME;Pequeno Porte sem retorno
15096101000185;15096101000185;CANHOTA PRODUÇÕES CINEMATOGRAFICAS LTDA;Pequeno Porte com algum retorno
57312878000180;08541650000156;TAUS PRODUCOES AUDIOVISUAIS EIRELI;Pequeno Porte com algum retorno
12081251000127;43598461000110;FEEL FILMES E PRODUCOES LTDA;Pequeno Porte com algum retorno
02597024000103;02597024000103;AUTORIA C PRODUCAO E GESTAO DE CONTEUDO CRIATIVO LTDA - ME;Pequeno Porte com algum retorno
11326389000186;11326389000186;SG FILMES LTDA - ME;Pequeno Porte sem retorno
13029754000116;35834540000155;ESCARLATE CONTEÚDO AUDIOVISUAL E EXPERIENCIAS CRIATIVAS LTDA - ME;Retorno Doméstico
28485087000153;32138883000197;LUCCAS TOON STUDIOS LTDA;Retorno Doméstico
29055209000134;29055209000134;BARRA FILMES LTDA;Pequeno Porte sem retorno
05738800000128;05738800000128;ROCAMBOLE PRODUÃÃES AUDIOVISUAIS LTDA.;Pequeno Porte com algum retorno
30693863000152;44405834000152;GRATTITUDE FILMS PRODUCTIONS LTDA;Pequeno Porte sem retorno
18522915000122;18522915000122;GOULART FILMES LTDA.;Pequeno Porte com algum retorno
28303041000176;28303041000176;CINE 2 PRODUÃÃES CINEMATOGRÃFICAS LTDA;Pequeno Porte com algum retorno
15316382000134;15316382000134;CHÁ CINEMATOGRÁFICO DE SP LTDA - ME;Pequeno Porte sem retorno
23895348000190;23895348000190;ALO CINE SOM PRODUCOES EIRELI;Pequeno Porte com algum retorno
36472587000189;36472587000189;VOGLIA PRODUÃÃES ARTÃSTICAS LTDA;Pequeno Porte sem retorno
05832663000196;56802747000118;INTRO PICTURES PRODUÇÕES CINEMATOGRÁFICAS LTDA;Fomento Baixo Retorno
17511586000151;17511586000151;4 YOU FILMS - EIRELI;Pequeno Porte com algum retorno
07271440000122;59112118000154;RUSCHEL STUDIOS CINEMATOGRAFICOS LTDA;Pequeno Porte com algum retorno
05565485000184;37031878000102;PANORAMICA COMUNICACAO LTDA.;Retorno Doméstico
09012841000193;34093368000163;BARRY COMPANY PRODUÇÕES AUDIOVISUAIS LTDA;Pequeno Porte com algum retorno
06228927000160;05509414000164;CASA REDONDA PRODUCOES CULTURAIS EIRELI;Pequeno Porte com algum retorno
11620976000183;11620976000183;VITRINE FILMES EIRELI - ME;Duplo Retorno
00845658000102;00845658000102;COISA DE CINEMA - CINEMA E VÍDEO LTDA ME;Pequeno Porte com algum retorno
13650474000120;45231158000100;ROSZA FILMES PRODUÇÕES LTDA ME;Fomento Baixo Retorno
08254467000170;08254467000170;MARREVOLTO PRODUCOES LTDA - ME;Fomento Baixo Retorno
10468552000182;10468552000182;TOKYO FILMES LTDA;Pequeno Porte com algum retorno
11384969000120;11384969000120;LEONARDO GARCIA E CIA LTDA;Pequeno Porte com algum retorno
16820127000197;16820127000197;MUVIOLA FILMES LTDA;Pequeno Porte com algum retorno
16894643000166;16894643000166;TARDO FILMES LTDA ME;Pequeno Porte com algum retorno
11907529000100;11907529000100;CONTAINER FILMES LTDA;Pequeno Porte com algum retorno
63190623000194;63190623000194;PORTFOLIUM LABORATÓRIO DE IMAGENS EIRELI;Pequeno Porte com algum retorno
02593994000122;02593994000122;AQUARELA PRODUÇÕES CULTURAIS LTDA;Pequeno Porte com algum retorno
17942221000181;17942221000181;PANACEIA PRODUCOES AUDIOVISUAIS LTDE-ME;Pequeno Porte com algum retorno
14595634000149;14595634000149;LUCINDA PRODUÇÕES CINEMATOGRÁFICAS E ARTÍSTICAS LTDA;Pequeno Porte com algum retorno
03576269000109;03576269000109;CYCLOPEA PRODUÇÕES E EVENTOS LTDA;Pequeno Porte com algum retorno
02825596000194;02825596000194;OFICINA DE CRIACAO DE FILMES EIRELI;Pequeno Porte com algum retorno
12751837000151;12751837000151;CRISTIANO T. AZZI;Pequeno Porte com algum retorno
13254763000100;13254763000100;OSSO PRODUÇÕES LTDA.;Pequeno Porte com algum retorno
04614433000198;04614433000198;ILUMINURA CINEMA E MULTIMIDIA EIRELI ­ ME;Pequeno Porte com algum retorno
04315795000188;04315795000188;MACONDO FILMES S/C LTDA;Pequeno Porte com algum retorno
17456554000109;36242039000162;FILMES DE PLASTICO PRODUCOES AUDIOVISUAIS LTDA - ME;Duplo Retorno
12325821000187;12325821000187;PITANGA FILMES LTDA;Pequeno Porte sem retorno
12573633000178;12573633000178;FILMES DO BEM PRODUÇÕES ARTÍSTICAS LTDA;Pequeno Porte com algum retorno
19716946000187;19716946000187;MOLÊRA PRODUÇÃO DE FILMES LTDA;Pequeno Porte com algum retorno
17822593000174;17822593000174;CINEDIÁRIO PRODUÇÕES CULTURAIS LTDA;Pequeno Porte com algum retorno
19099086000180;19099086000180;VERMELHO PROFUNDO PRODUÇÕES AUDIOVISUAIS LTDA;Pequeno Porte com algum retorno
13124984000164;53637870000132;EXTRATO DE CINEMA PRODUÇÕES E SERVIÇOS CINEMATOGRÁFICOS LTDA;Pequeno Porte com algum retorno
08287614000108;08287614000108;88 ARTE CONTEMPORANEA LTDA;Pequeno Porte com algum retorno
06905794000119;06905794000119;AC CAVALCANTE SERVIÇOS LTDA.;Pequeno Porte com algum retorno
18641448000150;18641448000150;TUPI FILMES LTDA;Pequeno Porte sem retorno
09137251000197;09137251000197;CAZA FILMES LTDA;Pequeno Porte com algum retorno
06071600000127;06071600000127;MEMÓRIA VIVA PRODUÇÃO DE IMAGEM E TEXTO LTDA;Pequeno Porte com algum retorno
18589962000193;18589962000193;FINORDIA PRODUÇÕES CULTURAIS LTDA - ME;Pequeno Porte com algum retorno
07521590000147;10696683000117;CANÁRIO PRODUTORA DE VÍDEO LTDA;Pequeno Porte com algum retorno
12837401000180;12837401000180;SOFÁ VERDE FILMES LTDA;Pequeno Porte com algum retorno
14520885000164;14520885000164;QUARTINHO DIRECOES ARTISTICAS EIRELI;Pequeno Porte com algum retorno
21624748000135;21624748000135;BARUC CARVALHO MARTINS FILMES E PRODUCOES - ME;Pequeno Porte sem retorno
11862908000120;11862908000120;VERTE FILMES LTDA ME;Pequeno Porte com algum retorno
21868012000102;21868012000102;GOYAZ FILMES EIRELI-ME;Pequeno Porte com algum retorno
11966450000150;11966450000150;CANABRAVA FILMES EIRELI;Pequeno Porte com algum retorno
11757060000170;11757060000170;MARIO H. C. ZUGAIR PRODUÇÕES-ME;Pequeno Porte sem retorno
07617370000111;07617370000111;PLANO 9 PRODUÇÕES AUDIOVISUAIS LTDA;Pequeno Porte com algum retorno
04462804000163;04462804000163;CHÁ CINEMATOGRÁFICO LTDA.;Pequeno Porte com algum retorno
17219542000152;17219542000152;PIRA FILMES E PRODUCOES LTDA;Pequeno Porte com algum retorno
05760527000138;05760527000138;NÚCLEO ZERO PUBLICIDADE LTDA;Pequeno Porte com algum retorno
03104388000169;03104388000169;JOAN CARLOS SANTOS PRODUÇÕES-ME;Pequeno Porte sem retorno
11101993000104;11101993000104;MIRÍADE FILMES E PRODUÇÕES ARTÍSTICAS LTDA;Retorno Internacional
15472728000193;15472728000193;MAR ILHA PRODUÇÃO E FINALIZAÇÃO LTDA - EPP;Pequeno Porte com algum retorno
19452266000101;19452266000101;BEBINHO SALGADO 45 LTDA - ME;Pequeno Porte com algum retorno
00830735000142;00830735000142;ORIGEM COMUNICAÇÃO LTDA.;Pequeno Porte com algum retorno
09085894000134;09085894000134;MAISON DU CINEMA PRODUCOES AUDIOVISUAIS LTDA - ME;Pequeno Porte sem retorno
10773468000172;10773468000172;CANAL DE VENDAS JP VÍDEO LTDA;Pequeno Porte com algum retorno
13667540000175;13667540000175;CASA DA PRAIA FILMES LTDA;Pequeno Porte com algum retorno
90130634000151;90130634000151;INVÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.;Fomento Baixo Retorno
03746956000125;03746956000125;COALA PRODUÇÕES AUDIOVISUAIS LTDA;Pequeno Porte com algum retorno
04696982000159;04696982000159;LANTERNA MÁGICA PRODUÇÕES EIRELI;Pequeno Porte sem retorno
09325623000109;53731193000117;IMMAGINI ANIMATION STUDIOS BRASIL LTDA;Pequeno Porte com algum retorno
19265893000125;19265893000125;AUTORIAS PRODUCOES CINEMATOGRAFICAS LTDA.;Pequeno Porte com algum retorno
08016733000126;08016733000126;ORQUESTRA CINEMA ESTÚDIOS LTDA;Pequeno Porte com algum retorno
04483967000122;04483967000122;G. L. MAGRI BARRADAS;Pequeno Porte com algum retorno
14210788000175;14210788000175;PIQUE-BANDEIRA PRODUCOES LTDA - ME;Pequeno Porte com algum retorno
11360555000160;11360555000160;FLASH MINAS TV PRODUTORA E MARKETING EIRELI;Pequeno Porte com algum retorno
12638556000197;12638556000197;G2 PRODUÇÕES LTDA - ME;Pequeno Porte com algum retorno
14676949000110;14676949000110;LUMIÔ FILMES LTDA - ME;Pequeno Porte sem retorno
19780327000151;61070523000107;GLOBAL VILLAGE CREATIVE E EXECUTIVE;Pequeno Porte sem retorno
26324984000150;26324984000150;CÉU VERMELHO FOGO FILMES LTDA;Pequeno Porte sem retorno
10551469000172;10551469000172;ALICE FANNY RIFF-PRODUCOES AUDIVISUAIS E CULTURAIS-ME;Pequeno Porte sem retorno
15745495000155;15745495000155;TEMPERO FILMES LTDA;Pequeno Porte com algum retorno
02501714000109;02501714000109;PERSONA FILMES EIRELI ­ ME;Pequeno Porte sem retorno
08267476000103;08267476000103;OKNA PRODUÇÕES CULTURAIS LTDA;Fomento Baixo Retorno
18580137000128;18580137000128;LADART PRODUÇÕES E CONSULTORIA LTDA;Pequeno Porte sem retorno
21054261000164;21054261000164;LIRA FILMES PRODUÇÕES LTDA ME;Pequeno Porte com algum retorno
13384449000142;49574715000147;AMORIM FILMES PRODUÇÕES CINEMATOGRÁFICAS EIRELI;Pequeno Porte com algum retorno
24931704000146;24931704000146;FELIPE COSMOS DE OLIVEIRA;Pequeno Porte com algum retorno
04297951000125;04297951000125;PRAÇA PRODUÇÕES AUDIOVISUAIS LTDA;Pequeno Porte sem retorno
12961838000120;34529137000150;ROMAN FILMES EIRELI;Pequeno Porte sem retorno
